,0,1,2
0,L'Abergement-Clémenciat,-0.6829588946554889,-1.5418115035746232
1,L'Abergement-de-Varey,-0.8857001880034098,-2.1225018053400326
2,Ambérieu-en-Bugey,7.718921110687554,-1.3488267738560555
3,Ambérieux-en-Dombes,0.2103315641292509,-2.324438529471193
4,Ambléon,-0.8388993114497038,-0.2389367329804837
5,Ambronay,-0.24463925933898367,-2.383169608580986
6,Ambutrix,-0.5482739698194845,-3.3603288198452215
7,Andert-et-Condon,-1.0366919384757345,0.09842365489314386
8,Anglefort,-0.500833970718575,-2.0309242918562407
9,Apremont,-0.8267953264707548,-0.9687326028705813
10,Aranc,-0.8695052939078155,0.9140018126503024
11,Arandas,-0.8811977310767777,-1.0531093006988668
12,Arbent,1.934729279424729,0.09005773485259055
13,Arboys en Bugey,-0.6444752775197918,-0.11080515034774953
14,Arbigny,-1.0786650076526318,-0.5594059080475605
15,Argis,-0.7574118218523109,0.19988997041575465
16,Armix,-1.3572408114157342,3.6565619968411056
17,Ars-sur-Formans,0.30806205368295997,-2.302958599495017
18,Artemare,1.010898128450619,0.7347451829946888
19,Asnières-sur-Saône,-1.1350098415449956,-2.4072466339417735
20,Attignat,0.4915623659848301,-2.1364016508478745
21,Bâgé-Dommartin,0.7510919065438726,-1.6420294373713897
22,Bâgé-le-Châtel,0.34021248250388214,-0.2860209831088686
23,Balan,0.22695446103554326,-4.836692444335423
24,Baneins,-0.7189576798659463,-2.1730029936718696
25,Beaupont,-0.6841623108119601,-0.5200423096005806
26,Beauregard,-0.33013324576925174,-2.462128426734394
27,Bellignat,0.8100180248308518,-1.0177297700932804
28,Béligneux,0.46159000237025616,-3.026224552906842
29,Valserhône,7.769740310641894,-1.2891034022056818
30,Belley,6.881719313612479,0.8866839824547995
31,Belleydoux,-1.1203505031905354,-0.29297027939894515
32,Valromey-sur-Séran,-0.5873245887995711,0.5984102052589066
33,Bénonces,-0.7314121443906005,-0.19490030270671208
34,Bény,-0.6472875883136178,-1.185235873459636
35,Béon,-0.3352689089740839,-0.22959526189121712
36,Béréziat,-0.7435468114354347,-2.049891371974742
37,Bettant,-0.6534726454912586,-1.8400270162575414
38,Bey,-0.8808680047714014,-3.141760035370399
39,Beynost,2.1170315922265726,-2.287632330135352
40,Billiat,-0.4996718024438238,-2.8794680414887193
41,Birieux,-0.7104327612085033,-3.62437212279139
42,Biziat,-0.8263596162252196,-2.587494707644217
43,Blyes,-0.2998213800394862,-5.110396209676814
44,La Boisse,1.0286726099374344,-2.9064330709256923
45,Boissey,-0.7884577191160893,-2.3400171714080407
46,Bolozon,-1.150986819807571,1.496703879547819
47,Bouligneux,-0.9050537621526608,-0.8486913668147186
48,Bourg-en-Bresse,30.21682371107393,1.6942340758805372
49,Bourg-Saint-Christophe,-0.6044827060372654,-3.8886583328934643
50,Boyeux-Saint-Jérôme,-0.8837300025526796,-0.885780524685787
51,Boz,-0.918498705343545,-1.6431295992235988
52,Brégnier-Cordon,-0.3148691554773962,-0.19216184248932403
53,Brénod,-0.618281469226438,0.4747372517339347
54,Brens,-0.6507902945363744,-1.171186197988545
55,Bressolles,-0.6007155526089332,-3.2699138593728794
56,Brion,-0.7101971478855651,0.012744348490710069
57,Briord,0.15616807009679717,-2.723830508306934
58,Buellas,-0.3712994094614669,-1.6415300068433187
59,La Burbanche,-0.7827255168610218,-1.443749923551992
60,Ceignes,-0.5583828736505335,-2.826435320458563
61,Cerdon,-0.43122095355271495,0.3505878525878296
62,Certines,-0.5886601052690547,-2.3839829982421277
63,Cessy,1.7762918223048842,-6.070244374266036
64,Ceyzériat,1.3247873550760951,-1.1474859263386206
65,Ceyzérieu,-0.7396668673008359,-0.12120901672297969
66,Chalamont,1.3195030459327657,-1.133873464113161
67,Chaleins,-0.30918337832858833,-3.60318084210938
68,Chaley,-1.1209743111527817,2.7622375367894256
69,Challes-la-Montagne,-0.8535438385040617,-1.116113250833075
70,Challex,-0.3386043878632376,-4.166942417632933
71,Champagne-en-Valromey,-0.27672047499799396,2.9463895947370977
72,Champdor-Corcelles,-0.5773487091512082,-0.6514005451487139
73,Champfromier,-0.3937167147421503,-0.8162265626710311
